,Year,Club,Name,Pos,Base Salary,Guaranteed Compensation
312,2008,POOL,Bryant Rueckner,GK,17700.0,17700.0
313,2008,TFC,Carlos Ruiz,F,350000.0,460000.0
314,2008,RSL,Robbie Russell,M,95016.0,100767.43
315,2008,DAL,Dario Sala,GK,130000.0,139875.0
316,2008,SJ,Shea Salinas,M,33000.0,33000.0
317,2008,DAL,Marcelo Saragosa,M,70350.0,74635.71
318,2008,COL,Kwame Sarkodie,D,12900.0,12900.0
319,2008,NY,Luke Sassano,M,17700.0,17700.0
320,2008,LA,Josh Saunders,GK,33000.0,33000.0
321,2008,CHV,Keith Savage,F,12900.0,12900.0
322,2008,CLB,Guillermo Barros Schelotto,F,250000.0,375000.0
323,2008,CLB,Kenny Schoeni,GK,17700.0,17700.0
324,2008,SJ,Scott Sealy,F,34728.75,34728.75
325,2008,CHI,Gonzalo Segares,D,58590.0,61090.0
326,2008,RSL,Chris Seitz,GK,70000.0,105500.0
327,2008,DAL,Adrian Serioux,D,113400.0,125900.0
328,2008,LA,Israel Sesay,F,45000.0,77083.33
329,2008,DAL,Victor Sikora,M,144000.0,163285.71
330,2008,DC,Clyde Simms,M,57750.0,59000.0
331,2008,SJ,Adam Smarte,F,17700.0,17700.0
332,2008,TFC,Jarrod Smith,F,36000.0,36000.0
333,2008,TFC,Johann Smith,F,36000.0,47666.67
334,2008,NE,Khano Smith,M,46305.0,46305.0
335,2008,SJ,Davide Somma,M,12900.0,12900.0
336,2008,CHI,Bakary Soumare,D,70000.0,103000.0
337,2008,KC,Kevin Souter,M,12900.0,12900.0
338,2008,NY,Seth Stammler,M,105000.0,105000.0
339,2008,DC,Dan Stratford,M,17700.0,17700.0
340,2008,RSL,Nathan Sturgis,M,75000.0,108000.0
341,2008,CHV,Claudio Suarez,D,125000.0,137500.0
342,2008,TFC,Greg Sutton,GK,150000.0,157562.5
343,2008,CHV,Carey Talley,D,105000.0,105000.0
344,2008,RSL,Brennan Tennelle,M,12900.0,12900.0
345,2008,CHV,Shavar Thomas,D,95000.0,98750.0
346,2008,DAL,Abe Thompson,F,33000.0,33000.0
347,2008,DC,Craig Thompson,M,12900.0,12900.0
348,2008,NE,Wells Thompson,M,33000.0,33000.0
349,2008,CHV,Zach Thornton,GK,50000.0,52500.0
350,2008,DC,James Thorpe,GK,12900.0,12900.0
351,2008,CHI,John Thorrington,M,60000.0,61875.0
352,2008,NY,Sainey Touray,F,12900.0,12900.0
353,2008,KC,Ivan Trujillo,F,70000.0,70000.0
354,2008,LA,Josh Tudela,M,17700.0,17700.0
355,2008,NE,Taylor Twellman,F,325008.0,350008.0
356,2008,NE,Brandon Tyler,D,12900.0,12900.0
357,2008,NY,Sinisa Ubiparipovic,M,33000.0,33000.0
358,2008,HOU,Erik Ustruck,M,12900.0,12900.0
359,2008,LA,Peter Vagenas,M,144000.0,144000.0
360,2008,LA,Julian Valentin,D,12900.0,12900.0
361,2008,NE,Rob Valentino,D,36000.0,53500.0
362,2008,NY,Dave Van Den Bergh,M,240000.0,274583.33
363,2008,LA,Greg Vanney,D,91800.0,91800.0
364,2008,CHV,Lawson Vaughn,D,33000.0,33000.0
365,2008,TFC,Marco Velez,D,60000.0,60500.0
366,2008,CHV,Sasha Victorine,M,151250.0,153750.0
367,2008,DC,Joe Vide,M,17700.0,19128.57
368,2008,DAL,Spencer Wadsworth,M,12900.0,12900.0
369,2008,DAL,David Wagenfuhr,D,44500.0,45250.0
370,2008,KC,Tyson Wahl,D,33000.0,33000.0
371,2008,HOU,Craig Waibel,D,70008.0,70008.0
372,2008,DAL,Anthony Wallace,M,70000.0,103000.0
373,2008,COL,Tim Ward,D,44620.0,54620.0
374,2008,NE,Doug Warren,GK,52500.0,52500.0
375,2008,CHI,Austin Washington,D,12900.0,12900.0
376,2008,DAL,Jaime Watson,F,17700.0,17700.0
377,2008,KC,Lance Watson,M,17700.0,17700.0
378,2008,DC,Zachary Wells,GK,52920.0,52920.0
379,2008,LA,Josh Wicks,GK,38000.0,38000.0
380,2008,CHV,Raphael Wicky,M,149583.29,159583.29
381,2008,DAL,Chase Wileman,M,17700.0,17700.0
382,2008,RSL,Andy Williams,M,80000.0,80000.0
383,2008,RSL,Chris Wingert,D,65000.0,65000.0
384,2008,NY,John Wolyniec,F,68906.25,68906.25
385,2008,HOU,Chris Wondolowski,M,33000.0,33000.0
386,2008,HOU,Stephen Wondolowski,D,12900.0,12900.0
387,2008,CHI,Daniel Woolard,D,17700.0,17700.0
388,2008,TFC,Marvell Wynne,D,47500.0,150000.0
389,2008,DC,Mike Zaher,D,12900.0,12900.0
390,2008,COL,Cesar Zambrano,M,12900.0,12900.0
391,2008,KC,Kerry Zavagnin,M,169400.0,169400.0
392,2008,CLB,Jed Zayner,D,36300.0,43800.0
393,2008,CHV,Alex Zotinca,D,70875.0,72125.0
394,2009,NE,Chris Albright,D,176000.0,176000.0
395,2009,RSL,Jean Alexandre,M,34000.0,34000.0
396,2009,DC,Ely Allen,F,15300.0,15300.0
397,2009,SEA,Osvaldo Alonso,M,65000.0,65000.0
398,2009,NE,Kevin Alston,D,55000.0,104000.0
399,2009,SJ,Arturo Alvarez,M,174750.0,184087.5
400,2009,SJ,Quincy Amarikwa,F,34000.0,34000.0
401,2009,NY,Juan Pablo Angel,F,1500000.0,1798000.0
402,2009,KC,Davy Arnaud,M,220000.0,228750.0
403,2009,HOU,Corey Ashe,M,34650.0,34650.0
404,2009,TFC,Nana Attakora-Gyan,D,34000.0,34000.0
405,2009,DAL,Eric Avila,M,70000.0,103000.0
406,2009,NE,Gabriel Badilla,D,138000.0,138000.0
407,2009,COL,Mehdi Ballouchy,M,100000.0,118000.0
408,2009,CHI,Michael Banner,D,34000.0,34000.0
409,2009,DC,Brandon Barklage,M,20100.0,20100.0
410,2009,NE,Darrius Barnes,D,34008.0,34008.0
411,2009,HOU,Wade Barrett,D,154000.0,156500.0
412,2009,TFC,Chad Barrett,F,195000.0,202500.0
413,2009,COL,Julien Baudet,D,156000.0,169750.0
414,2009,RSL,Kyle Beckerman,M,160650.0,163150.0
415,2009,LA,David Beckham,M,5500000.08,6500000.04
416,2009,RSL,Anthony Beltran,D,70000.0,105500.0
417,2009,DAL,Jair Benitez,D,36000.0,36000.0
418,2009,LA,Gregg Berhalter,D,144000.0,162750.0
419,2009,KC,Matt Besler,D,36000.0,47250.0
420,2009,LA,Chris Birchall,M,84000.0,97125.0
421,2009,CHI,Cuauhtemoc Blanco,M,2769240.0,2943702.0
422,2009,RSL,Nat Borchers,D,130000.0,137500.0
423,2009,NY,Danleigh Borman,D,20100.0,20100.0
424,2009,CHV,Jonathan Bornstein,D,90000.0,90000.0
425,2009,SEA,Terry Boss,GK,36000.0,38500.0
426,2009,HOU,Robert Boswell,D,150000.0,150000.0
427,2009,LA,Tristan Bowen,F,65000.0,96363.63
428,2009,NY,Andrew Boyens,D,49550.0,52050.0
429,2009,CHV,Justin Braun,F,20100.0,20100.0
430,2009,TFC,Jim Brennan,D,185000.0,193250.0
431,2009,SEA,Evan Brown,D,20100.0,20100.0
432,2009,CHI,C.J. Brown,D,91200.0,96000.0
433,2009,CLB,Eric Brunner,D,34008.0,34008.0
434,2009,LA,Edson Buddle,F,169950.0,179950.0
435,2009,DC,Marc Burch,D,60000.0,62500.0
436,2009,SJ,Bobby Burling,D,34000.0,34000.0
437,2009,CLB,Kevin Burns,M,20100.0,20100.0
438,2009,COL,Preston Burpo,GK,57871.99,57871.99
439,2009,DAL,Ray Burse,GK,34650.0,34650.0
440,2009,CHI,Jon Busch,GK,135000.0,136350.0
441,2009,HOU,Geoff Cameron,M,34650.0,34650.0
442,2009,RSL,Pablo Campos,F,65000.0,69846.72
443,2009,SJ,Joe Cannon,GK,180500.0,190756.25
444,2009,CHI,Calen Carr,F,58410.0,70910.0
445,2009,DC,Fred Carreiro,M,225000.0,257000.0
446,2009,CLB,Brian Carroll,M,133875.0,137625.0
447,2009,COL,Conor Casey,F,200000.0,200000.0
448,2009,NE,Mauricio Castro,M,120000.0,126250.0
449,2009,NY,Albert Celades,M,100000.0,125625.0
450,2009,NY,Daniel Cepero,GK,34000.0,34000.0
451,2009,COL,Steward Ceus,GK,20100.0,20100.0
452,2009,HOU,Michael Chabala,M,34000.0,34000.0
453,2009,DAL,Marvin Chavez,M,60000.0,70000.0
454,2009,CHV,Chukwudi Chijindu,M,20100.0,20100.0
455,2009,HOU,Brian Ching,F,242550.0,242550.0
456,2009,NY,Giorgi Chirgadze,F,20100.0,20100.0
457,2009,COL,Colin Clark,M,85000.0,90000.0
458,2009,HOU,Ricardo Clark,M,248050.0,248050.0
459,2009,NE,Nico Colaluca,M,75000.0,108000.0
460,2009,CHI,Wilman Conde,D,168000.0,188000.0
461,2009,KC,Jimmy Conrad,D,213750.0,225000.0
462,2009,SJ,Bobby Convey,M,222000.0,244500.0
463,2009,CHV,Jon Conway,GK,36000.0,42125.0
464,2009,SJ,Ramiro Corrales,M,190000.0,202500.0
465,2009,NY,Bouna Coundoul,GK,123999.96,125249.96
466,2009,RSL,Raphael Cox,D,20100.0,20100.0
467,2009,KC,Adam Cristman,F,34650.0,34650.0
468,2009,TFC,Sam Cronin,M,36000.0,84000.0
