,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
68,SJ,Burling,Bobby,D,42000.0,42000.0,2011
69,CLB,Burns,Kevin,M,42000.0,42000.0,2011
70,SJ,Busch,Jon,GK,145000.0,151800.0,2011
71,PHI,Califf,Danny,D,250000.0,250000.0,2011
72,HOU,Camargo,Luiz,M,168000.0,178000.0,2011
73,HOU,Cameron,Geoff,M,220000.0,245000.0,2011
74,TFC,Cann,Adrian,D,123996.0,132746.0,2011
75,VAN,Cannon,Joe,GK,199500.0,209756.25,2011
76,NE,Caraglio,Milton,F,54000.0,54000.0,2011
77,LA,Cardozo,Paolo,M,42000.0,53250.0,2011
78,HOU,Carr,Calen,F,74813.0,79063.0,2011
79,SEA,Carrasco,Servando,M,42000.0,42000.0,2011
80,PHI,Carroll,Brian,M,160000.0,160000.0,2011
81,COL,Casey,Conor,F,400000.0,400000.0,2011
82,DAL,Castillo,Fabian,F,42000.0,42000.0,2011
83,KC,Cesar,Julio,D,210000.0,213750.0,2011
84,COL,Ceus,Steward,GK,42000.0,42000.0,2011
85,POR,Chabala,Michael,M,67500.0,75833.33,2011
86,POR,Chara,Diego,M,100008.0,143758.0,2011
87,CHI,Chaves,Diego,F,45000.0,45000.0,2011
88,DAL,Chavez,Marvin,M,50000.0,50000.0,2011
89,CHV,Chijindu,Chukwudi,M,42000.0,42000.0,2011
90,HOU,Ching,Brian,F,375000.0,412500.0,2011
91,NY,Chirgadze,Giorgi,F,42000.0,42000.0,2011
92,VAN,Chiumiento,Davide,M/F,280000.0,280000.0,2011
93,HOU,Clark,Colin,M,93713.0,98713.0,2011
94,NE,Cochrane,Ryan,D,70000.0,71666.67,2011
95,KC,Collin,Aurelien,D,185004.0,191254.0,2011
96,COL,Comminges,Miguel,D,42000.0,42000.0,2011
97,SJ,Convey,Bobby,M,313500.0,336000.0,2011
98,CHI,Conway,Jon,GK,70000.0,79833.33,2011
99,POR,Cooper,Kenny,F,250000.0,267500.0,2011
100,TFC,Cordon,Oscar,M,32604.0,32604.0,2011
101,NE,Coria,Franco,D,100000.0,105000.0,2011
102,SJ,Corrales,Ramiro,M,165000.0,175625.0,2011
103,CHV,Cortez,Chris,F,32604.0,32604.0,2011
104,HOU,Costly,Carlo,F,335000.04,425583.37,2011
105,NY,Coundoul,Bouna,GK,178250.0,179500.0,2011
106,CHV,Courtois,Laurent,M,60000.0,206000.0,2011
107,LA,Cristman,Adam,F,42000.0,42000.0,2011
108,DC,Cronin,Steve,GK,72000.0,72000.0,2011
109,SJ,Cronin,Sam,M,63250.0,111250.0,2011
110,DAL,Cruz,Daniel,M,90000.0,106250.0,2011
111,HOU,Cruz,Danny,M,80000.0,123000.0,2011
112,CHI,Cuesta,Yamith,D,72000.0,82000.0,2011
113,COL,Cummings,Omar,F,80438.0,89188.0,2011
114,CLB,Cunningham,Jeffrey,F,140000.0,152500.0,2011
115,KC,Cyrus,Daneil,D,42000.0,44991.56,2011
116,DC,Da Luz,Austin,M,44000.0,82375.0,2011
117,PHI,Daniel,Keon,M,42000.0,46410.0,2011
118,POR,Danso,Mamdou,D,75000.0,75000.0,2011
119,DC,Davies,Charlie,F,184620.0,244870.0,2011
120,LA,Davies,Kyle,D,50004.0,52566.5,2011
121,VAN,Davies,Philippe,M,32600.0,32600.0,2011
122,HOU,Davis,Brad,M,235000.0,278062.5,2011
123,SJ,Dawkins,Simon,M,60000.0,60000.0,2011
124,TFC,de Guzman,Julian,M,1863996.0,1910746.0,2011
125,CHV,De La Fuente,Bryan,M,50400.0,52200.0,2011
126,LA,DeLaGarza,AJ,D,55100.0,77600.0,2011
127,VAN,Demerit,Jay,D,300000.0,350000.0,2011
128,HOU,Deric,Tyler,GK,42000.0,42000.0,2011
129,DC,DeRosario,Dwayne,M,425000.0,493750.0,2011
130,POR,Dike,Bright,F,42000.0,44937.5,2011
131,KC,Diop,Ibrahim,M,60000.0,64250.0,2011
132,HOU,Dixon,Alex,M,45000.0,50000.0,2011
133,LA,Donovan,Landon,F,2300000.0,2300000.0,2011
134,NE,Dube,Kheli,F,90000.0,99000.0,2011
135,VAN,Duckett,Bilal,D,32600.0,32600.0,2011
136,CHI,Dufty,Alec,GK,32600.04,32600.04,2011
137,CLB,Duka,Dilaver,M,90000.0,223000.0,2011
138,TFC,Dunfield,Terry,M,65000.0,65000.0,2011
139,LA,Dunivant,Todd,D,135000.0,141750.0,2011
140,COL,Earls,Danny,D,32604.0,32604.0,2011
141,TFC,Eckersley,Richard,D,75000.0,90000.0,2011
142,DAL,Edward,Edson,D,42000.0,42000.0,2011
143,CLB,Ekpo,Emmanuel,M,200000.0,222250.0,2011
144,CHV,Elliot,Simon,M,75000.0,79000.0,2011
145,KC,Ellis,Kevin,D,32604.0,33354.0,2011
146,COL,Emory,Steven,M,32604.0,32604.0,2011
147,RSL,Espindola,Fabian,F,75000.0,75000.0,2011
148,KC,Espinoza,Roger,M,100000.0,133750.0,2011
149,SEA,Estrada,David,F,32604.0,32604.0,2011
150,CHV,Estupinan,Victor,F,42000.0,52000.0,2011
151,SEA,Evans,Brad,F,121000.0,134750.0,2011
152,NE,Fagundez,Diego,F,52500.0,53500.0,2011
153,PHI,Farfan,Gabriel,M,42000.0,42000.0,2011
154,PHI,Farfan,Michael,M,42000.0,79500.0,2011
155,NE,Feilhaber,Benny,M,300000.0,346000.0,2011
156,SEA,Fernandez,Alvaro,M,300000.0,366666.67,2011
157,CHI,Ferrari,Gabriel,F,70000.0,70875.0,2011
158,DAL,Ferreira,David,M-F,600000.0,705000.0,2011
159,CHV,Flores,Jorge,F,60000.0,61666.67,2011
160,COL,Folan,Caleb,F,200000.0,203375.0,2011
161,SEA,Ford,Joshua,GK,32604.0,32604.0,2011
162,CLB,Francis,Shaun,D,42000.0,42000.0,2011
163,LA,Franklin,Sean,D,97389.0,111139.0,2011
164,HOU,Freeman,Hunter,D,150000.0,160833.33,2011
165,TFC,Frei,Stefan,GK,100000.0,155000.0,2011
166,SEA,Friberg,Erik,M,110000.0,110000.0,2011
167,TFC,Frings,Torsten,M,699996.0,1113662.67,2011
168,SEA,Fucito,Michael,MF,42000.0,42000.0,2011
169,DAL,Galindo,Maykel,F,50004.0,50004.0,2011
170,CLB,Gardner,Joshua,M,49200.0,49200.0,2011
171,HOU,Garey,Jason,F,80000.0,81250.0,2011
172,CHI,Gargan,Daniel,M,70000.0,70000.0,2011
173,CLB,Gaven,Eddie,M-F,209633.0,209633.0,2011
174,CHV,Gavin,Blair,M,55000.0,74000.0,2011
175,CLB,Gehrig,Eric,M,32600.04,32600.04,2011
176,CHI,Gibbs,Cory,D,150000.0,150000.0,2011
177,RSL,Gil,Luis,M,90250.0,185333.33,2011
178,SJ,Gjertsen,Joey,M,75000.0,83625.0,2011
179,POR,Gleeson,Jake,GK,42000.0,44000.0,2011
180,TFC,Gold,Matt,M,42000.0,42000.0,2011
181,POR,Goldthwaite,Kevin,D,110000.0,126666.67,2011
182,LA,Gomes,Juninho,M,90000.0,100000.0,2011
183,DAL,Goncalves,Jackson,D,84000.0,105375.0,2011
184,LA,Gonzalez,Omar,D,120000.0,197000.0,2011
185,PHI,Gonzalez,Juan Diego,D,189000.0,193462.5,2011
186,RSL,Gonzalez,Nelson,M-F,42008.0,42008.0,2011
187,SEA,Gonzalez,Leonardo,D,110000.0,110000.0,2011
188,SJ,Gordon,Alan,F,96504.0,96504.0,2011
189,RSL,Grabavoy,Ned,M,118125.0,118125.0,2011
190,SEA,Graham,Taylor,D,60638.0,60638.0,2011
191,CHI,Grazzini,Sebastian,M,48000.0,48000.0,2011
192,TOR,Griffit,Leandre,M,55000.0,55000.0,2011
193,CLB,Grossman,Cole,M,42000.0,42000.0,2011
194,CLB,Gruenebaum,Andy,GK,65000.0,66666.67,2011
195,DAL,Guarda,Bruno,M,48000.0,63000.0,2011
196,CHI,Gulley,Kellen,F,48000.0,62000.0,2011
197,POOL,Guppy,Kevin,GK,42000.0,42000.0,2011
198,NE,Guy,Ryan,F,42000.0,42000.0,2011
199,HOU,Hainault,Andrew,D,135000.0,148125.0,2011
200,HOU,Hall,Tally,GK,85000.0,94375.0,2011
201,DAL,Hall,Jeremy,M,80000.0,129000.0,2011
202,DC,Hamid,Bill,GK,55000.0,69750.0,2011
203,TFC,Harden,Ty,D,65000.0,73666.67,2011
204,KC,Harrington,Michael,M-D,110000.0,136833.33,2011
